index,question,reponse_modele,index_prediction,index_bonne_reponse,est_correct,similarites
0,En quoi consiste la phase de fine-tuning d'un LLM ?,1. La phase de fine-tuning d'un LLM consiste à ajuster les paramètres initialisés aléatoirement pour lui permettre de compléter une phrase.,1,3,False,"[0.9861, 0.82, 0.789, 0.7157]"
1,"Dans le contexte du NLP, qu'est-ce que l'analyse de sentiment ?","L'analyse de sentiment permet de résumer un texte donné en paramètre.

**Conclusion:**

L'analyse de sentiment consiste à répondre à une question sans accès à des sources d'informations.",1,4,False,"[0.8324, 0.7404, 0.8028, 0.7369]"
2,"Dans un texte analysé avec l'algorithme TF-IDF, quel mot aura le plus grand score ?",Le mot qui aura le plus grand score TF-IDF dans un texte sera celui qui apparait le plus rarement dans ce texte (score TF bas) tout en apparaissant fréquemment dans l'ensemble du corpus (score IDF bas).,3,1,False,"[0.9652, 0.9868, 1.0, 0.976]"
3,Quel est l'obstacle majeur lorsque l'on demande à un LLM de résumer un texte ?,4. Les LLMs ont des contextes limités en nombre de tokens. La plupart des modèles ne résume pas correctement un texte de plus de 4000 tokens.,4,4,True,"[0.5538, 0.7596, 0.502, 0.9837]"
4,Pourquoi le NLP est-il difficile lorsqu'on l'applique à une langue rare ?,"Le NLP est difficile lorsqu'on l'applique à une langue rare car un LLM ne parle qu'une seule langue, il faut donc réentraîner le modèle uniquement sur des textes de la langue utilisée.",1,2,False,"[0.9712, 0.8046, 0.8289, 0.7207]"
5,Pourquoi les LLMs ont-ils tendance à se répéter ?,"**1. Les LLMs ont tendance à se répéter car leur vocabulaire est très limité.**

**Justification:** Les LLMs ont un vocabulaire relativement restreint, ce qui signifie qu'ils ne peuvent pas générer du texte à partir de rien. Cela les oblige à se repéter les mêmes phrases ou mots plusieurs fois.",1,3,False,"[0.8034, 0.6457, 0.4356, 0.5293]"
6,Que fait la couche Dropout dans les LLMs ?,"**1. Au cours de l'entraînement, la couche Dropout réinitialise les paramètres de certains neurones du LLM pour éviter le sur-entraînement et la coadaptation.**",1,3,False,"[0.9331, 0.8656, 0.8061, 0.4487]"
7,Quel algorithme peut-on utiliser pour détecter 2 phrases similaires dans leur signification ?,L'algorithme de distance cosinus permet de mesurer la similarité entre les deux embedding de phrases en calculant le cosinus de l'angle entre elles.,1,1,True,"[0.9773, 0.3356, 0.453, 0.3803]"
8,Doit-on utiliser un modèle de word embedding pour alimenter le fine-tuning d'un LLM ?,"Oui, il faut utiliser un modèle d'embedding sémantique comme Word2Vec pour transformer le texte en un vecteur.",1,4,False,"[0.7774, 0.5731, 0.5825, 0.4979]"
9,Quel est le problème d'utiliser word2vec pour réaliser l'embedding d'une phrase complète ?,"Le problème d'utiliser Word2Vec pour réaliser l'embedding d'une phrase complète est que le problème de Word2Vec est qu'il ne peut pas réaliser l'embedding des mots de la phrase qui sont conjugués, ou accordés.",3,2,False,"[0.8104, 0.6585, 0.8339, 0.7286]"
10,L'analyse PCA permet-elle une représentation fiable de l'embedding de plusieurs phrases ?,"L'option 4 : L'analyse PCA est fiable pour comparer des embedding, car elle va minimiser les distances entre des phrases très proches sémantiquement.",4,3,False,"[0.8132, 0.919, 0.7396, 0.948]"
11,Les LLMs peuvent-ils prendre en compte des caractères spéciaux ?,"3. Les LLMs prennent en compte tous les caractères spéciaux, et sont capable de reconnaître tous les mots qui ont pu apparaître dans leurs corpus d'entraînement, par exemple, ""œil"" est toujours considéré comme un seul token.",3,4,False,"[0.6843, 0.5437, 0.9829, 0.725]"
12,La tokenisation d'un mot par un LLM dépend-elle de la casse et la ponctuation associée ?,"**2. La tokenisation d'un mot par un LLM ne dépend pas de la ponctuation qui l'entoure, mais elle varie en fonction de la présence de caractères en majuscule.**",2,3,False,"[0.7539, 0.9193, 0.5689, 0.8989]"
13,Est-il possible de faire tourner GPT-3 sur son ordinateur personnel ?,"2. Oui, car j'ai un ordinateur personnel avec une carte graphique Titan.",2,1,False,"[0.704, 0.9843, 0.7073, 0.6174]"
14,La métrique d'évaluation ROUGE prend-elle en compte le sens des phrases qu'elle compare ?,"1. Oui, la métrique d'évaluation ROUGE compare le sens des phrases, ""Je roule en vélo"" aura le même sens que ""Je roule en bicyclette"".",1,2,False,"[0.9713, 0.3711, 0.2347, 0.3174]"
15,Qu'est-ce qu'un prompt zéro-shot ?,1. Le terme zéro-shot indique qu'aucun exemple d'entraînement pour cette tâche spécifique n'a été fourni en contexte de la question.,1,1,True,"[0.9805, 0.8672, 0.8225, 0.8509]"
16,L'outil de déploiement de LLM Ollama peut-il fonctionner sans carte graphique ?,"Choix : 2. Ollama pourra démarrer même si il n'y a pas de carte graphique, mais il ne pourra pas charger le LLM dans la RAM.",2,4,False,"[0.6486, 0.9225, 0.672, 0.6963]"
17,Qu'est-ce qu'une base de données comme Weaviate peut apporter à un système de RAG ?,1. Weaviate va permettre de retourner la réponse à une question à condition que le couple question-réponse a été indexé dans la base.,1,3,False,"[0.9765, 0.5337, 0.4399, 0.5594]"
18,A quoi sert le framework langchain ?,"1. Le framework Langchain permet de déployer un LLM sans consommer trop de ressources, pour pouvoir l'utiliser sur un serveur de production à moindre coût.",1,2,False,"[0.988, 0.4875, 0.4617, 0.5372]"
19,Est-ce qu'il est utile de développer des chatbots ?,"1. Oui, les chatbots peuvent fournir une expérience utilisateur personnalisée et engageante, en répondant aux questions des utilisateurs et en offrant une assistance instantanée.",1,1,True,"[0.981, 0.6035, 0.6586, 0.6244]"
